run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,configname,No_Obstacles_Night,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,datetime,20191117-11:07:56,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,experiment,No_Obstacles_Night,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,inifile,omnetpp.ini,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,iterationvars,$0=0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,iterationvarsf,0-,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,measurement,$0=0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,network,artery.veins.World,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,processid,4847,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,repetition,0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,replication,#0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,resultdir,results,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,runnumber,0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,runattr,,,seedset,0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.traci.launcher.sumocfg,"""No_Obstacles_Night/run.sumo.cfg""",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].nic.mac1609_4.txPower,20mW,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].applType,"""artery.veins.ApplicationLayer""",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].appl.middleware.updateInterval,0.1s,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].appl.middleware.datetime,"""2013-06-01 12:35:00""",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].appl.middleware.services,"xmldoc(""services.xml"")",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].appl.middleware.ExampleService.DecisionLogic,0,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.node[*].appl.middleware.ExampleService.NeighboringWindow,60,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.traci.core.version,-1,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.playgroundSizeX,4000m,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.playgroundSizeY,4000m,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.playgroundSizeZ,50m,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.connectionManager.maxInterfDist,1500m,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.connectionManager.sendDirect,true,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,param,,,*.connectionManager.coreDebug,false,,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].appl.middleware.CaService,#cam_sent,,,158,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].appl.middleware.ExampleService,#half_proofs,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].appl.middleware.ExampleService,#loc_proof_send,,,3,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.phy80211p,busyTime,,,0.0028217872340425,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,ReceivedBroadcasts,,,739,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,SentPackets,,,161,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,SNIRLostPackets,,,74,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,RXTXLostPackets,,,13,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,TotalLostPackets,,,87,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,TimesIntoBackoff,,,161,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,SlotsBackoff,,,1229,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[5].nic.mac1609_4,totalBusyTime,,,0.158681,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].appl.middleware.CaService,#cam_sent,,,310,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].appl.middleware.ExampleService,#half_proofs,,,1,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].appl.middleware.ExampleService,#failed_proofs,,,1,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].appl.middleware.ExampleService,#loc_proof_send,,,11,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.phy80211p,busyTime,,,0.002973696,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,ReceivedBroadcasts,,,2237,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,SentPackets,,,321,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,SNIRLostPackets,,,59,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,RXTXLostPackets,,,19,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,TotalLostPackets,,,78,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,TimesIntoBackoff,,,322,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,SlotsBackoff,,,2350,,
No_Obstacles_Night-0-20191117-11:07:56-4847,scalar,World.node[3].nic.mac1609_4,NumInternalContention,,,0,,
