run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
Obstacles-1-20191117-12:20:37-19092,runattr,,,configname,Obstacles,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,datetime,20191117-12:20:37,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,experiment,Obstacles,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,inifile,omnetpp.ini,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,iterationvars,$0=40,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,iterationvarsf,40-,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,measurement,$0=40,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,network,artery.veins.World,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,processid,19092,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,repetition,0,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,replication,#0,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,resultdir,results,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,runnumber,1,,,
Obstacles-1-20191117-12:20:37-19092,runattr,,,seedset,1,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.traci.launcher.sumocfg,"""Obstacles/run.sumo.cfg""",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.withObstacles,true,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.obstacles.obstacles,"xmldoc(""config_obstacles.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].nic.mac1609_4.txPower,20mW,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].nic.phy80211p.decider,"xmldoc(""config_obstacles.xml"")",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].nic.phy80211p.analogueModels,"xmldoc(""config_obstacles.xml"")",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].applType,"""artery.veins.ApplicationLayer""",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].appl.middleware.updateInterval,0.1s,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].appl.middleware.datetime,"""2013-06-01 12:35:00""",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].appl.middleware.services,"xmldoc(""services.xml"")",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].appl.middleware.ExampleService.DecisionLogic,40,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.node[*].appl.middleware.ExampleService.NeighboringWindow,60,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.traci.core.version,-1,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.playgroundSizeX,4000m,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.playgroundSizeY,4000m,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.playgroundSizeZ,50m,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.connectionManager.maxInterfDist,1500m,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.connectionManager.sendDirect,true,,,
Obstacles-1-20191117-12:20:37-19092,param,,,*.connectionManager.coreDebug,false,,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].appl.middleware.CaService,#cam_sent,,,56,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].appl.middleware.ExampleService,#full_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].appl.middleware.ExampleService,#half_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].appl.middleware.ExampleService,#failed_proofs,,,1,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].appl.middleware.ExampleService,#loc_proof_send,,,1,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.phy80211p,busyTime,,,2.7111111111111e-05,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,ReceivedBroadcasts,,,3,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,SentPackets,,,57,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,SentAcknowledgements,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,SNIRLostPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,RXTXLostPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,TotalLostPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,DroppedPacketsInMac,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,TooLittleTime,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,TimesIntoBackoff,,,57,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,SlotsBackoff,,,411,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,NumInternalContention,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[2].nic.mac1609_4,totalBusyTime,,,0.009801,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].appl.middleware.CaService,#cam_sent,,,94,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].appl.middleware.ExampleService,#full_proofs,,,1,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].appl.middleware.ExampleService,#half_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].appl.middleware.ExampleService,#failed_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].appl.middleware.ExampleService,#loc_proof_send,,,1,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.phy80211p,busyTime,,,0.00024971428571429,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,ReceivedBroadcasts,,,39,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,SentPackets,,,95,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,SentAcknowledgements,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,SNIRLostPackets,,,4,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,RXTXLostPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,TotalLostPackets,,,4,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,TooLittleTime,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,TimesIntoBackoff,,,95,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,SlotsBackoff,,,658,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,NumInternalContention,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[3].nic.mac1609_4,totalBusyTime,,,0.022535,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].appl.middleware.CaService,#cam_sent,,,104,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].appl.middleware.ExampleService,#full_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].appl.middleware.ExampleService,#half_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].appl.middleware.ExampleService,#failed_proofs,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].appl.middleware.ExampleService,#loc_proof_send,,,1,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.phy80211p,busyTime,,,0.00043587096774194,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,ReceivedBroadcasts,,,57,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,SentPackets,,,105,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,SentAcknowledgements,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,SNIRLostPackets,,,26,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,RXTXLostPackets,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,TotalLostPackets,,,26,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,DroppedPacketsInMac,,,0,,
Obstacles-1-20191117-12:20:37-19092,scalar,World.node[9].nic.mac1609_4,TooLittleTime,,,0,,
